Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price,img_url1,img_url2,img_url3,img_url4,img_url5
Nikon Coolpix 2000,2002,1632,1024,1,38,114,0,0,8,295,108,229,/imagecamera/nikon/nikon-Coolpix2000-1.jpeg,/imagecamera/nikon/nikon-Coolpix2000-1.jpg,/imagecamera/nikon/nikon-Coolpix2000-3.jpeg,
Nikon Coolpix 2100,2003,1600,1024,1,36,108,30,4,8,215,88,99,/imagecamera/nikon/nikon-Coolpix2100-1.jpg,/imagecamera/nikon/nikon-Coolpix2100-2.jpg,/imagecamera/nikon/nikon-Coolpix2100-3.jpeg,
Nikon Coolpix 2200,2004,1600,1024,1,36,108,30,4,14,190,88,229,/imagecamera/nikon/nikon-Coolpix2200-1.jpg,/imagecamera/nikon/nikon-Coolpix2200-2.jpg,/imagecamera/nikon/nikon-Coolpix2200-3.jpg,
Nikon Coolpix 2500,2002,1600,1280,1,37,111,30,4,8,250,114,229,/imagecamera/nikon/nikon-Coolpix2500-1.jpeg,/imagecamera/nikon/nikon-Coolpix2500-2.jpeg,
Nikon Coolpix 3100,2003,2048,1600,3,38,115,30,4,16,215,88,99,/imagecamera/nikon/nikon-Coolpix3100-1.jpg,/imagecamera/nikon/nikon-Coolpix3100-2.jpg,/imagecamera/nikon/nikon-Coolpix3100-3.jpg
Nikon Coolpix 3200,2004,2048,1600,3,38,115,30,4,14,190,88,229,/imagecamera/nikon/nikon-Coolpix3200-1.jpg,/imagecamera/nikon/nikon-Coolpix3200-2.jpg,/imagecamera/nikon/nikon-Coolpix3200-3.jpg
Nikon Coolpix 3500,2002,2048,1600,3,37,111,30,4,8,250,114,229,/imagecamera/nikon/nikon-Coolpix3500-1.jpeg,/imagecamera/nikon/nikon-Coolpix3500-2.jpeg,,
Nikon Coolpix 3700,2003,2048,1600,3,35,105,30,3,16,162,95.5,229,/imagecamera/nikon/nikon-Coolpix3700-1.jpg,/imagecamera/nikon/nikon-Coolpix3700-2.jpg,/imagecamera/nikon/nikon-Coolpix3700-3.jpg,,
Nikon Coolpix 4100,2004,2288,1600,3,35,105,0,0,14,190,88,99,/imagecamera/nikon/nikon-Coolpix4100-1.jpg,/imagecamera/nikon/nikon-Coolpix4100-2.jpg,,
Nikon Coolpix 4200,2004,2272,2048,3,38,114,30,4,12,180,88,229,/imagecamera/nikon/nikon-Coolpix4200-1.jpeg,/imagecamera/nikon/nikon-Coolpix4200-2.jpeg,/imagecamera/nikon/nikon-Coolpix4200-3.jpg,
Nikon Coolpix 4300,2002,2272,2048,3,38,114,30,4,16,286,95,229,/imagecamera/nikon/nikon-Coolpix4300-1.jpg,/imagecamera/nikon/nikon-Coolpix4300-2.jpg,
Nikon Coolpix 4500,2002,2272,1280,3,38,155,30,2,16,374,130,229,/imagecamera/nikon/nikon-Coolpix4500-1.jpg,
Nikon Coolpix 4600,2005,2288,1600,3,34,102,30,4,14,180,85,229,/imagecamera/nikon/nikon-Coolpix4600-1.jpg,/imagecamera/nikon/nikon-Coolpix4600-2.jpg,
Nikon Coolpix 4800,2004,2288,1600,4,36,300,40,1,13,295,106,229,/imagecamera/nikon/nikon-Coolpix4800-1.jpg,/imagecamera/nikon/nikon-Coolpix4800-2.jpg,
Nikon Coolpix 5000,2001,2560,1600,4,28,85,50,2,32,414,102,229,/imagecamera/nikon/nikon-Coolpix5000-1.jpeg,/imagecamera/nikon/nikon-Coolpix5000-2.jpg,
Nikon Coolpix 5200,2004,2592,2048,5,38,114,30,4,12,180,88,229,/imagecamera/nikon/nikon-Coolpix5200-1.jpg,/imagecamera/nikon/nikon-Coolpix5200-2.jpg,
Nikon Coolpix 5400,2003,2592,1600,5,28,116,50,1,16,400,108,229,/imagecamera/nikon/nikon-Coolpix5400-1.jpg,/imagecamera/nikon/nikon-Coolpix5400-2.jpeg,
Nikon Coolpix 5600,2005,2592,2048,5,34,102,30,4,14,180,85,229,/imagecamera/nikon/nikon-Coolpix5600-1.jpg,/imagecamera/nikon/nikon-Coolpix5600-2.jpg,/imagecamera/nikon/nikon-Coolpix5600-3.jpg
Nikon Coolpix 5700,2002,2560,1600,4,35,280,50,3,32,512,108,229,/imagecamera/nikon/nikon-Coolpix5700-1.jpg,/imagecamera/nikon/nikon-Coolpix5700-2.jpg,
Nikon Coolpix 5900,2005,2592,2048,5,38,114,30,4,13,185,88,229,/imagecamera/nikon/nikon-Coolpix5900-1.jpg,/imagecamera/nikon/nikon-Coolpix5900-2.jpg,
Nikon Coolpix 7600,2005,3072,2592,7,38,114,30,4,14,195,85,229,/imagecamera/nikon/nikon-Coolpix7600-1.jpg,/imagecamera/nikon/nikon-Coolpix7600-2.jpg,
Nikon Coolpix 775,2001,1600,1024,1,38,115,30,4,8,230,87,159,/imagecamera/nikon/nikon-Coolpix775-1.jpg,
Nikon Coolpix 7900,2005,3072,2592,7,38,114,30,4,13,185,88,229,/imagecamera/nikon/nikon-Coolpix7900-1.jpg,/imagecamera/nikon/nikon-Coolpix7900-2.jpg
Nikon Coolpix 8400,2004,3264,2592,8,24,85,50,3,0,470,113,229,/imagecamera/nikon/nikon-Coolpix8400-1.jpg,
Nikon Coolpix 8700,2004,3264,2592,8,35,280,50,3,0,512,113,229,/imagecamera/nikon/nikon-Coolpix8700-1.jpg,/imagecamera/nikon/nikon-Coolpix8700-2.jpg
Nikon Coolpix 880,2000,2048,1024,3,38,95,40,4,8,320,99.5,229,/imagecamera/nikon/nikon-Coolpix880-1.jpg,/imagecamera/nikon/nikon-Coolpix880-2.jpeg,
Nikon Coolpix 8800,2004,3264,2592,8,35,350,50,3,0,680,116,229,/imagecamera/nikon/nikon-Coolpix8800-1.jpg,
Nikon Coolpix 885,2001,2048,1024,3,38,114,40,4,16,286,95,159,/imagecamera/nikon/nikon-Coolpix885-1.jpg,/imagecamera/nikon/nikon-Coolpix885-2.jpg
Nikon Coolpix 990,2000,2048,1024,3,38,115,30,2,16,450,143,229,/imagecamera/nikon/nikon-Coolpix990-1.jpg,
Nikon Coolpix 995,2001,2048,1600,3,38,152,30,2,16,420,138,159,/imagecamera/nikon/nikon-Coolpix995-1.jpg,
Nikon Coolpix L1,2005,2816,2048,6,38,190,50,4,10,195,90,99,/imagecamera/nikon/nikon-CoolpixL1-1.jpg,
Nikon Coolpix L10,2007,2560,2048,4,37,112,40,15,7,165,90,99,/imagecamera/nikon/nikon-CoolpixL10-1.jpg,/imagecamera/nikon/nikon-CoolpixL10-2.jpg,/imagecamera/nikon/nikon-CoolpixL10-3.jpg,
Nikon Coolpix L15,2007,3264,2592,8,35,105,50,15,32,225,91,159,/imagecamera/nikon/nikon-CoolpixL15-1.jpg,/imagecamera/nikon/nikon-CoolpixL15-2.jpg,
Nikon Coolpix P50,2007,3264,3200,8,28,102,50,5,52,210,95,229,/imagecamera/nikon/nikon-CoolpixP50-1.jpg,/imagecamera/nikon/nikon-CoolpixP50-2.jpg,
Nikon Coolpix P5000,2007,3648,2592,10,36,126,30,4,26,240,98,399,/imagecamera/nikon/nikon-CoolpixP5000-1.jpg,/imagecamera/nikon/nikon-CoolpixP5000-2.jpg,/imagecamera/nikon/nikon-CoolpixP5000-3.jpg,
Nikon Coolpix P5100,2007,4000,3264,12,35,123,30,4,52,250,98,399,/imagecamera/nikon/nikon-CoolpixP5100-1.jpg,/imagecamera/nikon/nikon-CoolpixP5100-2.jpg,
Nikon Coolpix S200,2007,3072,2592,7,38,114,60,10,20,165,92,229,/imagecamera/nikon/nikon-CoolpixS200-1.jpg,/imagecamera/nikon/nikon-CoolpixS200-2.jpg,/imagecamera/nikon/nikon-CoolpixS200-3.jpg,
Nikon Coolpix S5,2006,2816,2048,6,35,105,30,4,21,165,93,229,/imagecamera/nikon/nikon-CoolpixS5-1.jpg,/imagecamera/nikon/nikon-CoolpixS5-2.jpg,/imagecamera/nikon/nikon-CoolpixS5-3.jpg,
Nikon Coolpix S50,2007,3072,2592,7,38,114,30,4,13,165,88,229,/imagecamera/nikon/nikon-CoolpixS50-1.jpg,/imagecamera/nikon/nikon-CoolpixS50-2.jpg,/imagecamera/nikon/nikon-CoolpixS50-3.jpg,/imagecamera/nikon/nikon-CoolpixS50-4.jpg,
Nikon Coolpix S500,2007,3072,2592,7,35,105,50,15,26,165,88,229,/imagecamera/nikon/nikon-CoolpixS500-1.jpg,/imagecamera/nikon/nikon-CoolpixS500-2.jpg,
Nikon Coolpix S50c,2007,3072,2592,7,38,114,30,4,13,165,88,329,/imagecamera/nikon/nikon-CoolpixS50c-1.jpg,/imagecamera/nikon/nikon-CoolpixS50c-2.jpg,
Nikon Coolpix S51,2007,3264,2592,7,38,114,30,4,13,175,93,279,/imagecamera/nikon/nikon-CoolpixS51-2.jpg,/imagecamera/nikon/nikon-CoolpixS51-1.jpg,
Nikon Coolpix S510,2007,3264,3200,8,35,105,50,15,52,125,88,399,/imagecamera/nikon/nikon-CoolpixS510-1.jpg,
Nikon Coolpix S51c,2007,3264,2592,7,38,114,30,4,13,175,98,329,/imagecamera/nikon/nikon-CoolpixS51c-1.jpg,/imagecamera/nikon/nikon-CoolpixS51c-2.jpg,/imagecamera/nikon/nikon-CoolpixS51c-3.jpg,/imagecamera/nikon/nikon-CoolpixS51c-4.jpg,
Nikon Coolpix S6,2006,2816,2048,6,35,105,30,4,20,170,101,199,/imagecamera/nikon/nikon-CoolpixS6-1.jpg,/imagecamera/nikon/nikon-CoolpixS6-2.jpg,
Nikon Coolpix S7c,2006,3072,2592,7,35,105,30,4,14,170,101,199,/imagecamera/nikon/nikon-CoolpixS7c-1.jpg,/imagecamera/nikon/nikon-CoolpixS7c-2.jpg,
Nikon Coolpix S9,2006,2816,2048,6,38,114,25,4,24,165,91,199,/imagecamera/nikon/nikon-CoolpixS9-1.jpg,
Nikon D2Xs,2006,4288,3216,12,0,0,0,0,0,1200,158,4699,/imagecamera/nikon/nikon-D2Xs-1.jpg,
Nikon D3,2007,4256,3184,12,0,0,0,0,0,1300,160,4999,/imagecamera/nikon/nikon-D3-1.jpg,
Nikon D300,2007,4288,3216,12,0,0,0,0,0,925,147,1799,/imagecamera/nikon/nikon-D300-1.png,
Nikon D40,2006,3008,2256,6,0,0,0,0,0,522,124,549,/imagecamera/nikon/nikon-d40-1.png,
Nikon D40X,2007,3872,2896,10,0,0,0,0,0,522,124,549,/imagecamera/nikon/nikon-d40x-1.png,
Nikon D80,2006,3872,2896,10,0,0,0,0,0,668,132,1199,/imagecamera/nikon/nikon-D80-1.jpg,
